Match,Team_Name,Match_Result,Player_Name,Hero_Name,Lane,Kill,Death,Assist,Net Worth,Last_Hit,GPM,XPM,DMG,Item1,Time1,Item2,Time2,Item3,Time3,Item4,Time4,Item5,Time5,Item6,Time6
43,Evil Geniuses,1,EG.Cr1t-,Pangolier,Off Lane,2,5,30,13.2,117,368,595,16.0,Magic Stick,2.0,Javelin,10.0,Guardian Greaves,30.0,Lotus Orb,38.0,,,,
44,Evil Geniuses,1,EG.Arteezy,Troll Warlord,Off Lane,4,1,8,15.6,253,672,575,9.8,Wraith Band,3.0,Power Treads,5.0,Diffusal Blade,11.0,Sange and Yasha,18.0,Aegis of the Immortal,20.0,Satanic,23.0
44,Evil Geniuses,1,EG.Suma1L,Outworld Devourer,Mid Lane,11,0,3,14.3,238,635,582,13.9,Magic Wand,3.0,Power Treads,8.0,Spirit Vessel,13.0,Blink Dagger,16.0,Moon Shard,20.0,Ultimate Orb,22.0
44,Evil Geniuses,1,EG.Fly,Lion,Mid Lane,2,4,15,4.4,24,261,353,6.6,Observer Ward,4.0,Tranquil Boots,11.0,Wind Lace,13.0,Magic Wand,13.0,Aether Lens,22.0,,
44,Evil Geniuses,1,EG.s4,Batrider,Safe Lane,9,1,14,10.1,113,436,458,12.9,Wind Lace,3.0,Bottle,4.0,Boots of Travel,8.0,Magic Wand,9.0,Drum of Endurance,13.0,Blink Dagger,18.0
44,Evil Geniuses,1,EG.Cr1t-,Earthshaker,Safe Lane,2,2,18,7.2,65,329,412,10.0,Arcane Boots,5.0,Blink Dagger,11.0,Magic Stick,12.0,Force Staff,21.0,,,,
45,Evil Geniuses,1,EG.Arteezy,Sven,Mid Lane,5,2,12,19.7,299,605,695,20.9,Power Treads,7.0,Echo Sabre,14.0,Black King Bar,20.0,Blink Dagger,23.0,Assault Cuirass,29.0,Crystalys,33.0
45,Evil Geniuses,1,EG.Suma1L,Morphling,Safe Lane,16,2,8,19.7,257,627,794,30.3,Magic Wand,3.0,Power Treads,9.0,Ethereal Blade,20.0,Eye of Skadi,28.0,Black King Bar,34.0,Aegis of the Immortal,34.0
45,Evil Geniuses,1,EG.Fly,Shadow Demon,Safe Lane,2,6,22,7.0,61,296,406,10.5,Observer and Sentry Wards,0.0,Smoke of Deceit,0.0,Tranquil Boots,11.0,Magic Wand,18.0,Aether Lens,28.0,Force Staff,33.0
45,Evil Geniuses,1,EG.s4,Necrophos,Off Lane,8,6,15,15.4,173,478,496,19.4,Magic Wand,1.0,Null Talisman,9.0,Force Staff,16.0,Pipe of Insight,20.0,Guardian Greaves,30.0,Eul's Scepter of Divinity,34.0
